fid_master,name,fid_link,guess_link
DATAGOV-22228@182000,枋山溪,,WIKIDATA-1@Q11105319
DATAGOV-22228@183000,楓港溪,,WIKIDATA-1@Q11119649|WIKIDATA-1@Q32752098|WIKIDATA-1@Q32752100
DATAGOV-22228@184000,石盤溪,,WIKIDATA-1@Q17038898
DATAGOV-22228@185000,四重溪,,WIKIDATA-1@Q10925394
DATAGOV-22228@185010,里仁溪,,WIKIDATA-1@Q17038652
DATAGOV-22228@185020,牡丹溪,,WIKIDATA-1@Q17036682
DATAGOV-22228@185030,竹社溪,,
DATAGOV-22228@185040,大梅溪,,WIKIDATA-1@Q32719246
DATAGOV-22228@186000,保力溪,,WIKIDATA-1@Q10887532|WIKIDATA-1@Q32446762
DATAGOV-22228@201000,港口溪,,WIKIDATA-1@Q17030337
DATAGOV-22228@201010,吧沙加魯溪,,WIKIDATA-1@Q32463482
DATAGOV-22228@201020,小路溪,,WIKIDATA-1@Q34945117
DATAGOV-22228@201030,欖仁溪,,
DATAGOV-22228@201040,老佛溪,,
DATAGOV-22228@201050,加都魯溪,,
DATAGOV-22228@201060,林祿溪,,
DATAGOV-22228@201070,白沙彌溪,,WIKIDATA-1@Q32429428
DATAGOV-22228@202000,九棚溪,,WIKIDATA-1@Q10878902
DATAGOV-22228@203000,港子溪,,WIKIDATA-1@Q17030365
DATAGOV-22228@204000,旭海溪,,WIKIDATA-1@Q34946626
DATAGOV-22228@205000,乾溪,,
DATAGOV-22228@206000,塔瓦溪,,WIKIDATA-1@Q10930901|WIKIDATA-1@Q34946344
DATAGOV-22228@207000,達仁溪,,WIKIDATA-1@Q17059768|WIKIDATA-1@Q32721900
DATAGOV-22228@208000,安朔溪,,WIKIDATA-1@Q10946883
DATAGOV-22228@209000,朝庸溪,,WIKIDATA-1@Q11092532|WIKIDATA-1@Q32630013
DATAGOV-22228@210000,大武溪,,WIKIDATA-1@Q10936117|WIKIDATA-1@Q32724320
DATAGOV-22228@211000,烏萬溪,,WIKIDATA-1@Q17039533
DATAGOV-22228@212000,津林溪,,WIKIDATA-1@Q11146444
DATAGOV-22228@213000,大竹溪,,WIKIDATA-1@Q32724574
DATAGOV-22228@214000,金崙溪,,WIKIDATA-1@Q17039840
DATAGOV-22228@215000,太麻里溪,,WIKIDATA-1@Q10941891|WIKIDATA-1@Q34906720
DATAGOV-22228@216000,文里溪,,WIKIDATA-1@Q11080190|WIKIDATA-1@Q34856328
DATAGOV-22228@217000,知本溪,,WIKIDATA-1@Q17040899
DATAGOV-22228@218000,利嘉溪,,WIKIDATA-1@Q10898297
DATAGOV-22228@219000,太平溪,,WIKIDATA-1@Q10941454
DATAGOV-22228@220000,卑南溪,,WIKIDATA-1@Q699259
DATAGOV-22228@220010,新武呂溪,,WIKIDATA-1@Q11083038|WIKIDATA-1@Q34945788
DATAGOV-22228@220020,鹿寮溪,,
DATAGOV-22228@220030,鹿野溪,,WIKIDATA-1@Q11175140|WIKIDATA-1@Q35411991
DATAGOV-22228@220031,鹿鳴溪,,WIKIDATA-1@Q35401994
DATAGOV-22228@220032,嘉豐溪,,
DATAGOV-22228@220033,嘉豐二號溪,,
DATAGOV-22228@220034,和平溪,,WIKIDATA-1@Q10921471
DATAGOV-22228@220035,嘉豐一號溪,,
DATAGOV-22228@220040,萬安溪,,
DATAGOV-22228@220050,泥水溪,,
DATAGOV-22228@220060,嘉武溪,,
DATAGOV-22228@220070,紅石溪,,WIKIDATA-1@Q87235445
DATAGOV-22228@220071,楠溪,,
DATAGOV-22228@220080,崁頂溪,,WIKIDATA-1@Q35299592
DATAGOV-22228@220090,加鹿溪,,
DATAGOV-22228@221000,都蘭溪,,WIKIDATA-1@Q17026985|WIKIDATA-1@Q32746353
DATAGOV-22228@222000,八里溪,,WIKIDATA-1@Q10892491|WIKIDATA-1@Q32434603
DATAGOV-22228@223000,馬武溪,,
DATAGOV-22228@224000,成功溪,,
DATAGOV-22228@225000,富家溪,,WIKIDATA-1@Q17023927
DATAGOV-22228@226000,都威溪,,WIKIDATA-1@Q17038326|WIKIDATA-1@Q32749066
DATAGOV-22228@227000,沙灣溪,,WIKIDATA-1@Q11140544
DATAGOV-22228@228000,寧埔溪,,WIKIDATA-1@Q10955546
