RIVER_NAME,RIVER_TYPE,RIVER_CODE,RIVER_FROM
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
大坑溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
四分溪,"5",,
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪,"1","114020110",淡水河
新店溪第二號排水溝,"5",,
新店溪第二號排水溝,"5",,
榴公圳,"5",,
榴公圳,"5",,
榴公圳,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
,"5",,
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
景美溪,"1","114023110",新店溪
