ID,Debrisno,Area_ha,Centroid_X,Centroid_Y,Debrisno_o
179,基市DF019,360,326616,2773321,台北A255
180,基市DF020,153.41,327159,2774069,台北049
181,基市DF021,48.87,326270,2775074,台北A254
182,基市DF022,10.62,325358,2775785,台北A253
183,基市DF023,87.78,326113,2776224,台北048
184,基市DF024,19.89,325448,2777757,台北A252
185,新北DF011,7.97,287553,2780772,北縣DF011
186,新北DF020,5.11,293245,2781818,北縣DF020
187,新北DF012,2.35,289318,2778953,北縣DF012
188,新北DF013,3.8,289245,2778764,北縣DF013
189,新北DF014,6.47,289187,2778494,北縣DF014
190,新北DF015,5.45,289144,2778308,北縣DF015
191,新北DF016,9.63,290309,2777351,北縣DF016
192,新北DF017,7.63,290105,2778601,北縣DF017
193,新北DF018,5.4,290133,2778798,北縣DF018
194,新北DF019,14.7,290252,2779020,北縣DF019
195,新北DF003,4.93,302164,2791650,北縣DF003
196,新北DF004,101.72,301831,2788042,北縣DF004
197,新北DF005,228.59,303830,2788832,北縣DF005
198,新北DF006,30.97,304429,2793775,北縣DF006
199,新北DF065,92.46,285655,2751035,北縣DF065
200,新北DF066,78.76,286544,2751370,北縣DF066
201,新北DF067,55.76,287154,2751692,北縣DF067
202,新北DF068,39.77,287964,2750742,北縣DF068
203,新北DF069,20.93,288294,2751106,北縣DF069
204,新北DF062,17.86,284390,2756503,北縣DF062
205,新北DF081,23.88,295645,2758826,北縣DF081
206,新北DF082,25.81,294413,2758198,北縣DF082
207,新北DF221,11.52,297544,2755979,新北F101-3
208,新北DF223,4.38,297866,2756807,新北F104-11
209,新北DF073,85.85,293499,2748308,北縣DF073
210,新北DF074,31.78,294116,2748444,北縣DF074
211,新北DF075,7.79,297180,2749329,北縣DF075
212,新北DF076,93.41,294654,2749939,北縣DF076
213,新北DF077,347.64,294125,2750995,北縣DF077
214,新北DF078,3.45,293157,2750924,北縣DF078
215,新北DF079,22.46,292897,2751088,北縣DF079
216,新北DF222,17.12,294554,2747843,新北F104-22
217,新北DF080,436.34,293297,2755158,北縣DF080
218,新北DF063,90.63,287268,2752946,北縣DF063
